AH 93-K-130/15
1.0000000 0.0006400
0.9913800 0.0010300
0.9789700 0.0019400
0.9631800 0.0035500
0.9453000 0.0057800
0.9266300 0.0084000
0.9077800 0.0112500
0.8892500 0.0143000
0.8713900 0.0177200
0.8526900 0.0218600
0.8362100 0.0262200
0.8185900 0.0318500
0.8002900 0.0381600
0.7815100 0.0448000
0.7628300 0.0513200
0.7444600 0.0574700
0.7263000 0.0631300
0.7082200 0.0682600
0.6900600 0.0728500
0.6717000 0.0769600
0.6530600 0.0806300
0.6341500 0.0839500
0.6150600 0.0869300
0.5958400 0.0896100
0.5765200 0.0919800
0.5571100 0.0940700
0.5376400 0.0958900
0.5181300 0.0974300
0.4986000 0.0987100
0.4790600 0.0997300
0.4595200 0.1004600
0.4399900 0.1009200
0.4204400 0.1010900
0.4008800 0.1009900
0.3813200 0.1006200
0.3617900 0.0999700
0.3422700 0.0990500
0.3227800 0.0978400
0.3033300 0.0963600
0.2839600 0.0945800
0.2646700 0.0924900
0.2454400 0.0900800
0.2263000 0.0873400
0.2072500 0.0842700
0.1883000 0.0808500
0.1695100 0.0770900
0.1509100 0.0729500
0.1325500 0.0684100
0.1144800 0.0634500
0.0967700 0.0580400
0.0795700 0.0521700
0.0630900 0.0458500
0.0477600 0.0391500
0.0342300 0.0323100
0.0232300 0.0257900
0.0150400 0.0200400
0.0092400 0.0151400
0.0052000 0.0109200
0.0024800 0.0071600
0.0007900 0.0037100
0.0000400 0.0005100
0.0000100 -0.0003100
0.0007500 -0.0033200
0.0028200 -0.0063000
0.0061800 -0.0089900
0.0109800 -0.0114600
0.0177000 -0.0137100
0.0272300 -0.0158300
0.0403900 -0.0178600
0.0567200 -0.0197400
0.0747400 -0.0213400
0.0934900 -0.0226300
0.1125900 -0.0237000
0.1318800 -0.0245900
0.1512800 -0.0253600
0.1707200 -0.0260100
0.1901900 -0.0265800
0.2097000 -0.0270500
0.2292400 -0.0274600
0.2488100 -0.0278100
0.2684000 -0.0281200
0.2880200 -0.0283900
0.3076400 -0.0286300
0.3272600 -0.0288400
0.3468800 -0.0290100
0.3665100 -0.0291600
0.3861400 -0.0292900
0.4057800 -0.0293800
0.4254200 -0.0294600
0.4450700 -0.0295100
0.4647100 -0.0295500
0.4843300 -0.0295600
0.5039400 -0.0295300
0.5235300 -0.0294600
0.5431100 -0.0293500
0.5627100 -0.0291900
0.5823100 -0.0289900
0.6019100 -0.0287500
0.6215000 -0.0284700
0.6410500 -0.0281400
0.6606000 -0.0277400
0.6801400 -0.0272900
0.6996800 -0.0267700
0.7191900 -0.0261900
0.7386900 -0.0255200
0.7581700 -0.0247800
0.7776400 -0.0239400
0.7971100 -0.0230200
0.8165600 -0.0220100
0.8359300 -0.0209100
0.8552000 -0.0196600
0.8743900 -0.0182400
0.8934600 -0.0166300
0.9122500 -0.0147900
0.9305700 -0.0126000
0.9481800 -0.0099200
0.9650800 -0.0067600
0.9800400 -0.0039200
0.9916100 -0.0015000
1.0000000 -0.0000800
