E211  (10.96%)
1.0000000 0.0000000
0.9966100 0.0008300
0.9869800 0.0034900
0.9721500 0.0079000
0.9528700 0.0133700
0.9292600 0.0191200
0.9011500 0.0248800
0.8686700 0.0307600
0.8322600 0.0367600
0.7923500 0.0428000
0.7494500 0.0487700
0.7040700 0.0545700
0.6567400 0.0600800
0.6080400 0.0651800
0.5585400 0.0697100
0.5088300 0.0735000
0.4594200 0.0763300
0.4107300 0.0780100
0.3631700 0.0784700
0.3171200 0.0776200
0.2729200 0.0754700
0.2308800 0.0720700
0.1913600 0.0675800
0.1547400 0.0621400
0.1214000 0.0558500
0.0916500 0.0488500
0.0657600 0.0412700
0.0439600 0.0332500
0.0264000 0.0249700
0.0132000 0.0166800
0.0044400 0.0087000
0.0001800 0.0015900
0.0015800 -0.0042900
0.0089600 -0.0096700
0.0214800 -0.0148200
0.0390200 -0.0194200
0.0614600 -0.0233700
0.0886200 -0.0266200
0.1202400 -0.0291600
0.1560200 -0.0309900
0.1955800 -0.0321300
0.2384900 -0.0326000
0.2842700 -0.0324200
0.3323800 -0.0315900
0.3822600 -0.0300900
0.4332900 -0.0277900
0.4851500 -0.0244100
0.5378300 -0.0200600
0.5909800 -0.0153000
0.6439100 -0.0105700
0.6958900 -0.0061800
0.7461500 -0.0023800
0.7939000 0.0006400
0.8383400 0.0027800
0.8787300 0.0039800
0.9143200 0.0042900
0.9444300 0.0038100
0.9684400 0.0027700
0.9858900 0.0015200
0.9964600 0.0004400
1.0000000 0.0000000
