SD7084 (9.6%)
1.0000000 0.0000000
0.9965800 0.0003000
0.9865000 0.0013900
0.9702600 0.0036100
0.9484500 0.0070600
0.9217200 0.0116300
0.8906400 0.0170800
0.8557500 0.0231100
0.8174800 0.0293800
0.7761900 0.0355700
0.7321800 0.0415200
0.6858400 0.0471600
0.6377000 0.0524500
0.5882900 0.0572700
0.5381500 0.0615100
0.4878300 0.0650800
0.4378500 0.0678600
0.3887400 0.0697800
0.3409800 0.0707400
0.2950500 0.0706800
0.2513900 0.0695500
0.2104200 0.0673400
0.1725400 0.0639900
0.1380400 0.0594500
0.1071000 0.0537400
0.0798600 0.0469800
0.0564200 0.0393400
0.0368700 0.0310900
0.0213200 0.0225600
0.0098500 0.0141300
0.0026300 0.0063100
0.0000000 -0.0001600
0.0029400 -0.0055100
0.0116700 -0.0103100
0.0257500 -0.0144000
0.0451200 -0.0178600
0.0695500 -0.0207100
0.0987600 -0.0229500
0.1324500 -0.0245800
0.1703000 -0.0256000
0.2119000 -0.0260700
0.2568000 -0.0260100
0.3045200 -0.0254700
0.3545500 -0.0244800
0.4063300 -0.0231200
0.4593100 -0.0214300
0.5128900 -0.0195100
0.5664700 -0.0174100
0.6194300 -0.0152000
0.6711600 -0.0129800
0.7210500 -0.0107900
0.7685200 -0.0087300
0.8129600 -0.0068500
0.8537900 -0.0052200
0.8904700 -0.0038400
0.9225000 -0.0027200
0.9494200 -0.0018200
0.9708800 -0.0010500
0.9867100 -0.0003900
0.9966100 -0.0000600
1.0000100 -0.0000000
