E180  (8.59%)
1.0000000 0.0000000
0.9967700 0.0000800
0.9871400 0.0004200
0.9712800 0.0012100
0.9494300 0.0026700
0.9220300 0.0050200
0.8896600 0.0083200
0.8529200 0.0125300
0.8123900 0.0175500
0.7687200 0.0232700
0.7225400 0.0295200
0.6745400 0.0361100
0.6254100 0.0427800
0.5758400 0.0491800
0.5263300 0.0548400
0.4772300 0.0594300
0.4288500 0.0627300
0.3814700 0.0646200
0.3353600 0.0650200
0.2907400 0.0640100
0.2479300 0.0618200
0.2074100 0.0586000
0.1695900 0.0544800
0.1348700 0.0495500
0.1035900 0.0439100
0.0760500 0.0376800
0.0525100 0.0309900
0.0331500 0.0239800
0.0181200 0.0168400
0.0074600 0.0098300
0.0012500 0.0034400
0.0003300 -0.0016300
0.0051200 -0.0059600
0.0152600 -0.0101500
0.0305300 -0.0138000
0.0508400 -0.0168000
0.0760900 -0.0191200
0.1060800 -0.0207900
0.1405400 -0.0218500
0.1791200 -0.0223500
0.2214400 -0.0223500
0.2670300 -0.0219400
0.3153900 -0.0211800
0.3659700 -0.0201400
0.4181900 -0.0188900
0.4714400 -0.0175000
0.5251000 -0.0160000
0.5785400 -0.0144600
0.6311300 -0.0128900
0.6822500 -0.0113500
0.7313000 -0.0098500
0.7776900 -0.0084200
0.8208800 -0.0070700
0.8603500 -0.0058200
0.8956300 -0.0046500
0.9262800 -0.0035800
0.9519200 -0.0025600
0.9723400 -0.0015300
0.9874100 -0.0006400
0.9967900 -0.0001300
1.0000000 0.0000000
