AH 93-W-300
1.0000000 0.0004000
0.9989300 0.0008400
0.9957200 0.0022300
0.9903900 0.0044800
0.9829600 0.0071400
0.9734700 0.0103400
0.9619400 0.0139100
0.9484400 0.0179400
0.9330100 0.0224700
0.9157300 0.0274900
0.8966800 0.0330100
0.8759200 0.0389800
0.8535500 0.0453800
0.8296700 0.0521400
0.8043800 0.0592400
0.7777900 0.0666300
0.7500000 0.0742500
0.7211400 0.0820400
0.6913400 0.0898900
0.6607200 0.0977300
0.6294100 0.1054500
0.5975500 0.1129300
0.5652600 0.1200700
0.5327000 0.1267800
0.5000000 0.1329500
0.4673000 0.1384700
0.4347400 0.1432800
0.4024500 0.1473200
0.3705900 0.1504800
0.3392800 0.1526500
0.3086600 0.1537300
0.2788600 0.1536900
0.2500000 0.1525000
0.2222100 0.1501900
0.1956200 0.1467300
0.1703300 0.1421900
0.1464500 0.1366300
0.1240800 0.1301000
0.1033200 0.1226400
0.0842700 0.1142800
0.0669900 0.1051100
0.0515600 0.0952200
0.0380600 0.0846600
0.0265300 0.0733600
0.0170400 0.0609400
0.0096100 0.0468800
0.0042800 0.0312600
0.0010700 0.0151700
0.0000000 0.0000000
0.0010700 -0.0159200
0.0042800 -0.0303500
0.0096100 -0.0437300
0.0170400 -0.0560000
0.0265300 -0.0672600
0.0380600 -0.0777300
0.0515600 -0.0876400
0.0669900 -0.0970700
0.0842700 -0.1060400
0.1033200 -0.1144000
0.1240800 -0.1220400
0.1464500 -0.1288500
0.1703300 -0.1346700
0.1956200 -0.1393800
0.2222100 -0.1429100
0.2500000 -0.1451900
0.2788600 -0.1461500
0.3086600 -0.1457800
0.3392800 -0.1440600
0.3705900 -0.1410100
0.4024500 -0.1366800
0.4347400 -0.1312000
0.4673000 -0.1246600
0.5000000 -0.1172300
0.5327000 -0.1092200
0.5652600 -0.1008500
0.5975500 -0.0922700
0.6294100 -0.0836800
0.6607200 -0.0752200
0.6913400 -0.0670400
0.7211400 -0.0592400
0.7500000 -0.0519000
0.7777900 -0.0451200
0.8043800 -0.0389000
0.8296700 -0.0333000
0.8535500 -0.0283500
0.8759200 -0.0240900
0.8966800 -0.0205200
0.9157300 -0.0176700
0.9330100 -0.0155100
0.9484400 -0.0140000
0.9619400 -0.0131000
0.9734700 -0.0127200
0.9829600 -0.0127800
0.9903900 -0.0129800
0.9957200 -0.0133700
0.9989300 -0.0136200
1.0000000 -0.0136900
