FX 79-W-470A
1.0000000 0.0320900
0.9989300 0.0297500
0.9957200 0.0689300
0.9903900 0.0832200
0.9829600 0.0938200
0.9734700 0.1023000
0.9619400 0.1065400
0.9484400 0.1090500
0.9330100 0.1117200
0.9157300 0.1161000
0.8966800 0.1213600
0.8759200 0.1273000
0.8535500 0.1340000
0.8296700 0.1412000
0.8043800 0.1488700
0.7777900 0.1571300
0.7500000 0.1663100
0.7211400 0.1759200
0.6913400 0.1857500
0.6607200 0.1958900
0.6294100 0.2063800
0.5975500 0.2165500
0.5652600 0.2256300
0.5327000 0.2336500
0.5000000 0.2411400
0.4673000 0.2481200
0.4347400 0.2540600
0.4024500 0.2590300
0.3705900 0.2624000
0.3392800 0.2634600
0.3086600 0.2623800
0.2788600 0.2590100
0.2500000 0.2535100
0.2222100 0.2458000
0.1956200 0.2360400
0.1703300 0.2240400
0.1464500 0.2102100
0.1240800 0.1951200
0.1033200 0.1791800
0.0842700 0.1625500
0.0669900 0.1450200
0.0515600 0.1265200
0.0380600 0.1079200
0.0265300 0.0904100
0.0170400 0.0737900
0.0096100 0.0577500
0.0042800 0.0409000
0.0010700 0.0249400
0.0000000 0.0000000
0.0010700 -0.0100000
0.0042800 -0.0233200
0.0096100 -0.0361900
0.0170400 -0.0480700
0.0265300 -0.0602000
0.0380600 -0.0719200
0.0515600 -0.0835500
0.0669900 -0.0950000
0.0842700 -0.1063000
0.1033200 -0.1177900
0.1240800 -0.1292000
0.1464500 -0.1401300
0.1703300 -0.1505600
0.1956200 -0.1603300
0.2222100 -0.1694100
0.2500000 -0.1776800
0.2788600 -0.1851100
0.3086600 -0.1915600
0.3392800 -0.1971000
0.3705900 -0.2012900
0.4024500 -0.2035500
0.4347400 -0.2040000
0.4673000 -0.2032300
0.5000000 -0.2014100
0.5327000 -0.1980500
0.5652600 -0.1924700
0.5975500 -0.1850000
0.6294100 -0.1762700
0.6607200 -0.1668300
0.6913400 -0.1570100
0.7211400 -0.1471900
0.7500000 -0.1384100
0.7777900 -0.1310200
0.8043800 -0.1246900
0.8296700 -0.1186300
0.8535500 -0.1126800
0.8759200 -0.1071900
0.8966800 -0.1030800
0.9157300 -0.0998400
0.9330100 -0.0972100
0.9484400 -0.0960400
0.9619400 -0.0949100
0.9734700 -0.0919800
0.9829600 -0.0852800
0.9903900 -0.0767500
0.9957200 -0.0644100
0.9989300 -0.0385400
1.0000000 -0.0321800
