E195  (11.82%)
1.0000000 0.0000000
0.9965200 0.0005000
0.9864000 0.0022000
0.9703700 0.0052700
0.9490400 0.0094800
0.9228000 0.0144800
0.8918500 0.0201400
0.8565800 0.0264700
0.8175300 0.0334100
0.7752900 0.0408300
0.7304600 0.0485900
0.6836800 0.0564800
0.6355900 0.0642800
0.5868600 0.0717000
0.5381300 0.0783500
0.4898500 0.0837400
0.4422200 0.0875600
0.3955000 0.0896800
0.3499400 0.0900400
0.3058000 0.0886500
0.2633000 0.0856300
0.2227600 0.0812300
0.1846000 0.0756400
0.1492200 0.0690300
0.1169700 0.0615400
0.0881700 0.0533400
0.0631000 0.0446000
0.0419800 0.0355100
0.0250000 0.0262900
0.0122800 0.0172100
0.0039300 0.0086200
0.0000800 0.0011400
0.0019600 -0.0049600
0.0098600 -0.0104100
0.0229500 -0.0155100
0.0411200 -0.0199600
0.0642200 -0.0236800
0.0920600 -0.0266100
0.1244100 -0.0287300
0.1609800 -0.0300600
0.2014000 -0.0306400
0.2452600 -0.0305100
0.2920900 -0.0297300
0.3413500 -0.0283100
0.3926000 -0.0262200
0.4454500 -0.0236000
0.4993500 -0.0207000
0.5536200 -0.0177400
0.6075400 -0.0148400
0.6604300 -0.0121000
0.7115800 -0.0095900
0.7603400 -0.0073700
0.8060500 -0.0054800
0.8480900 -0.0039100
0.8859000 -0.0026600
0.9189500 -0.0016700
0.9468500 -0.0008200
0.9693500 -0.0001700
0.9860700 0.0001400
0.9964600 0.0000900
1.0000000 0.0000000
