AH 93-W-145
1.0000000 0.0003300
0.9989300 0.0006700
0.9957200 0.0017200
0.9903900 0.0033000
0.9829600 0.0053300
0.9734700 0.0077500
0.9619400 0.0105400
0.9484400 0.0136400
0.9330100 0.0169900
0.9157300 0.0205600
0.8966800 0.0243500
0.8759200 0.0283800
0.8535500 0.0326900
0.8296700 0.0373000
0.8043800 0.0422500
0.7777900 0.0475100
0.7500000 0.0530500
0.7211400 0.0588000
0.6913400 0.0647200
0.6607200 0.0707500
0.6294100 0.0768200
0.5975500 0.0828600
0.5652600 0.0888200
0.5327000 0.0945400
0.5000000 0.0997900
0.4673000 0.1042700
0.4347400 0.1077100
0.4024500 0.1099600
0.3705900 0.1109400
0.3392800 0.1106600
0.3086600 0.1091900
0.2788600 0.1066800
0.2500000 0.1032500
0.2222100 0.0990400
0.1956200 0.0941400
0.1703300 0.0886400
0.1464500 0.0826300
0.1240800 0.0761700
0.1033200 0.0693300
0.0842700 0.0621800
0.0669900 0.0548000
0.0515600 0.0472700
0.0380600 0.0397000
0.0265300 0.0321600
0.0170400 0.0247800
0.0096100 0.0177400
0.0042800 0.0112100
0.0010700 0.0053300
0.0000000 0.0000000
0.0010700 -0.0049600
0.0042800 -0.0096400
0.0096100 -0.0139400
0.0170400 -0.0178700
0.0265300 -0.0213800
0.0380600 -0.0244200
0.0515600 -0.0270200
0.0669900 -0.0292100
0.0842700 -0.0310100
0.1033200 -0.0324600
0.1240800 -0.0335600
0.1464500 -0.0343600
0.1703300 -0.0348900
0.1956200 -0.0352100
0.2222100 -0.0353500
0.2500000 -0.0353100
0.2788600 -0.0351000
0.3086600 -0.0347300
0.3392800 -0.0341700
0.3705900 -0.0334200
0.4024500 -0.0324900
0.4347400 -0.0313700
0.4673000 -0.0300700
0.5000000 -0.0286000
0.5327000 -0.0269800
0.5652600 -0.0252300
0.5975500 -0.0233600
0.6294100 -0.0214000
0.6607200 -0.0193700
0.6913400 -0.0172800
0.7211400 -0.0151600
0.7500000 -0.0130300
0.7777900 -0.0109000
0.8043800 -0.0088200
0.8296700 -0.0068500
0.8535500 -0.0050600
0.8759200 -0.0034800
0.8966800 -0.0021500
0.9157300 -0.0011400
0.9330100 -0.0004800
0.9484400 -0.0001600
0.9619400 -0.0001200
0.9734700 -0.0003000
0.9829600 -0.0006400
0.9903900 -0.0010200
0.9957200 -0.0013500
0.9989300 -0.0015700
1.0000000 -0.0016200
