AH 95-160
1.0002000 -0.0015100
0.9904300 0.0007800
0.9760900 0.0045000
0.9571500 0.0096200
0.9361700 0.0154100
0.9146900 0.0214700
0.8931200 0.0276400
0.8715400 0.0338600
0.8499600 0.0401200
0.8283800 0.0464000
0.8068100 0.0526900
0.7852400 0.0589900
0.7636700 0.0652800
0.7420900 0.0715800
0.7205800 0.0778600
0.6992200 0.0840700
0.6781000 0.0901700
0.6573000 0.0960800
0.6369500 0.1017000
0.6170700 0.1069500
0.5976300 0.1117700
0.5785400 0.1161300
0.5596700 0.1200100
0.5408900 0.1234100
0.5221000 0.1263500
0.5032400 0.1288300
0.4842900 0.1308600
0.4652500 0.1324500
0.4461600 0.1335900
0.4270400 0.1342800
0.4078900 0.1345300
0.3886800 0.1343300
0.3693900 0.1337000
0.3500100 0.1326400
0.3305800 0.1311600
0.3111300 0.1292800
0.2917000 0.1270000
0.2723300 0.1243200
0.2530700 0.1212600
0.2339300 0.1178100
0.2149600 0.1139700
0.1962100 0.1097400
0.1777300 0.1051200
0.1595600 0.1001100
0.1417700 0.0947100
0.1244400 0.0889200
0.1076900 0.0827600
0.0916200 0.0762300
0.0763800 0.0693900
0.0622000 0.0622900
0.0493100 0.0550400
0.0379900 0.0478100
0.0284600 0.0408400
0.0208000 0.0344000
0.0148900 0.0286400
0.0104100 0.0235400
0.0070700 0.0190300
0.0045800 0.0150000
0.0027600 0.0113800
0.0014700 0.0080800
0.0006100 0.0050500
0.0001300 0.0022200
0.0000000 -0.0004300
0.0002500 -0.0030600
0.0009700 -0.0057100
0.0022100 -0.0082800
0.0039900 -0.0106800
0.0063200 -0.0128800
0.0092100 -0.0148900
0.0127300 -0.0167900
0.0170700 -0.0186500
0.0225300 -0.0205200
0.0295600 -0.0223900
0.0387600 -0.0242100
0.0508600 -0.0258500
0.0665100 -0.0271700
0.0856600 -0.0281600
0.1068700 -0.0288900
0.1286900 -0.0293500
0.1508900 -0.0295800
0.1733900 -0.0296400
0.1959700 -0.0295800
0.2185500 -0.0294000
0.2410900 -0.0291300
0.2635700 -0.0287700
0.2860100 -0.0283400
0.3084100 -0.0278500
0.3307900 -0.0273000
0.3531500 -0.0267000
0.3754900 -0.0260500
0.3978200 -0.0253400
0.4201500 -0.0245800
0.4424700 -0.0237600
0.4647900 -0.0228800
0.4871100 -0.0219400
0.5094300 -0.0209400
0.5317500 -0.0198700
0.5540700 -0.0187500
0.5763900 -0.0175500
0.5987100 -0.0163000
0.6210300 -0.0150200
0.6433500 -0.0137100
0.6656700 -0.0124100
0.6880000 -0.0111200
0.7103600 -0.0098700
0.7327900 -0.0086400
0.7553000 -0.0074300
0.7777600 -0.0062400
0.8001800 -0.0050800
0.8226600 -0.0039900
0.8449700 -0.0030100
0.8668600 -0.0021800
0.8881200 -0.0015400
0.9084900 -0.0011200
0.9279000 -0.0009500
0.9462900 -0.0010300
0.9632900 -0.0014000
0.9782500 -0.0020100
0.9904000 -0.0028100
0.9998000 -0.0036700
