E207  (12.04%)
1.0000000 0.0000000
0.9964700 0.0004500
0.9862500 0.0020200
0.9701100 0.0048900
0.9487000 0.0088100
0.9223800 0.0133700
0.8912800 0.0184100
0.8557600 0.0240000
0.8163300 0.0301100
0.7735700 0.0366600
0.7280600 0.0435200
0.6804300 0.0505500
0.6313200 0.0575900
0.5813900 0.0644100
0.5312900 0.0707900
0.4816900 0.0763800
0.4330600 0.0807500
0.3856700 0.0836200
0.3398100 0.0848300
0.2957300 0.0843000
0.2536300 0.0820500
0.2137100 0.0781900
0.1762500 0.0730000
0.1416200 0.0666900
0.1101800 0.0594400
0.0822500 0.0514300
0.0580800 0.0428200
0.0379100 0.0338300
0.0218900 0.0246800
0.0101500 0.0156500
0.0027900 0.0071400
0.0000000 -0.0001500
0.0030400 -0.0062600
0.0121200 -0.0120400
0.0262800 -0.0175000
0.0454300 -0.0223400
0.0694300 -0.0264900
0.0980700 -0.0299100
0.1310900 -0.0325700
0.1681700 -0.0344800
0.2089300 -0.0356500
0.2529200 -0.0361100
0.2996600 -0.0358600
0.3486100 -0.0348700
0.3993700 -0.0330200
0.4516500 -0.0304400
0.5049500 -0.0274400
0.5586000 -0.0242500
0.6118900 -0.0210200
0.6641400 -0.0178700
0.7146700 -0.0148800
0.7628300 -0.0121200
0.8079600 -0.0096300
0.8494800 -0.0074400
0.8868100 -0.0055500
0.9194200 -0.0039000
0.9469900 -0.0023900
0.9693000 -0.0010800
0.9859800 -0.0002600
0.9964300 0.0000000
1.0000000 0.0000000
