S8038 (13%)
1.0000000 0.0000000
0.9978300 0.0003500
0.9917500 0.0016200
0.9824200 0.0036800
0.9701200 0.0061600
0.9547800 0.0088100
0.9363900 0.0116800
0.9150600 0.0148500
0.8910200 0.0183200
0.8644500 0.0220800
0.8355900 0.0261100
0.8046700 0.0303700
0.7719400 0.0348200
0.7376500 0.0394100
0.7020700 0.0440600
0.6654700 0.0487000
0.6281300 0.0532500
0.5903100 0.0575600
0.5522000 0.0615400
0.5140600 0.0651100
0.4760800 0.0681400
0.4384000 0.0705700
0.4012600 0.0723800
0.3648100 0.0734900
0.3291700 0.0739300
0.2945600 0.0736800
0.2611500 0.0727400
0.2290900 0.0711700
0.1985700 0.0689800
0.1697500 0.0661800
0.1428000 0.0628400
0.1178900 0.0589900
0.0951700 0.0546400
0.0747900 0.0497900
0.0568100 0.0444500
0.0413500 0.0386900
0.0284500 0.0324200
0.0179700 0.0256800
0.0099600 0.0187800
0.0044100 0.0117100
0.0011000 0.0047100
0.0001300 -0.0015700
0.0024600 -0.0070100
0.0083900 -0.0122700
0.0172600 -0.0176000
0.0289600 -0.0228400
0.0433100 -0.0279100
0.0602700 -0.0327000
0.0797400 -0.0371600
0.1015900 -0.0412200
0.1257400 -0.0448300
0.1520500 -0.0480000
0.1803800 -0.0506500
0.2105900 -0.0527900
0.2425000 -0.0544200
0.2759200 -0.0555000
0.3106800 -0.0560600
0.3465700 -0.0560700
0.3833700 -0.0555400
0.4208600 -0.0544700
0.4588400 -0.0528100
0.4971700 -0.0505600
0.5355700 -0.0477500
0.5739900 -0.0443500
0.6123900 -0.0405100
0.6504800 -0.0364500
0.6879900 -0.0323000
0.7246400 -0.0281900
0.7601400 -0.0242000
0.7941900 -0.0204300
0.8265100 -0.0169400
0.8568000 -0.0137800
0.8847900 -0.0109900
0.9102100 -0.0085700
0.9328000 -0.0065100
0.9523400 -0.0047700
0.9686500 -0.0032600
0.9817100 -0.0018600
0.9915100 -0.0007400
0.9977900 -0.0001200
1.0000000 0.0000000
