E216  (10.4%)
1.0000000 0.0000000
0.9969200 0.0014100
0.9884200 0.0055200
0.9756400 0.0115700
0.9587700 0.0184000
0.9374300 0.0255200
0.9116200 0.0330000
0.8817000 0.0407900
0.8480500 0.0486800
0.8110400 0.0565100
0.7710700 0.0640700
0.7285500 0.0712000
0.6839000 0.0777300
0.6375700 0.0835300
0.5900400 0.0884700
0.5417700 0.0924300
0.4932300 0.0953200
0.4449000 0.0970400
0.3972200 0.0975400
0.3506400 0.0967800
0.3056000 0.0947500
0.2624900 0.0914400
0.2216900 0.0869000
0.1835400 0.0811900
0.1483600 0.0743900
0.1164400 0.0666500
0.0880300 0.0580900
0.0633300 0.0489100
0.0425400 0.0393000
0.0257600 0.0295100
0.0131100 0.0198100
0.0046100 0.0105800
0.0003100 0.0023800
0.0010800 -0.0038500
0.0076900 -0.0086600
0.0197900 -0.0129100
0.0370300 -0.0163000
0.0592400 -0.0186900
0.0862800 -0.0199900
0.1179500 -0.0202000
0.1540100 -0.0193200
0.1942000 -0.0174200
0.2381700 -0.0146000
0.2855400 -0.0109800
0.3358800 -0.0067500
0.3886800 -0.0021000
0.4434100 0.0027600
0.4994500 0.0075700
0.5561400 0.0121100
0.6127900 0.0161100
0.6686200 0.0193700
0.7228700 0.0216700
0.7747100 0.0228400
0.8233100 0.0227700
0.8678200 0.0213700
0.9073700 0.0186300
0.9410500 0.0145600
0.9676300 0.0094500
0.9860800 0.0044900
0.9966100 0.0011300
1.0000000 0.0000000
