E221  (9.39%)
1.0000000 0.0000000
0.9965900 0.0001000
0.9865400 0.0006400
0.9703100 0.0019100
0.9484200 0.0039200
0.9212300 0.0065400
0.8890400 0.0097500
0.8523000 0.0136500
0.8116100 0.0182600
0.7676200 0.0234900
0.7209800 0.0292200
0.6723900 0.0352600
0.6224900 0.0413700
0.5719200 0.0472600
0.5212100 0.0526300
0.4708200 0.0572500
0.4212000 0.0609400
0.3727900 0.0635600
0.3260000 0.0649900
0.2812100 0.0651400
0.2387400 0.0639700
0.1988800 0.0615300
0.1619500 0.0579000
0.1282500 0.0531900
0.0980600 0.0475200
0.0716200 0.0410100
0.0491200 0.0338400
0.0307100 0.0262100
0.0165100 0.0183500
0.0065700 0.0105900
0.0009900 0.0034400
0.0005000 -0.0022500
0.0057700 -0.0070200
0.0165900 -0.0117100
0.0325600 -0.0159700
0.0535100 -0.0196700
0.0793000 -0.0227200
0.1097200 -0.0251200
0.1445000 -0.0268800
0.1833100 -0.0280300
0.2257500 -0.0286300
0.2713700 -0.0287300
0.3196800 -0.0284000
0.3701200 -0.0277100
0.4221200 -0.0267000
0.4750900 -0.0254500
0.5284100 -0.0239900
0.5814500 -0.0223700
0.6336000 -0.0206200
0.6842500 -0.0187900
0.7328100 -0.0168900
0.7787000 -0.0149500
0.8214000 -0.0130000
0.8603800 -0.0110400
0.8952000 -0.0090800
0.9254100 -0.0070700
0.9508200 -0.0049000
0.9713900 -0.0027600
0.9868700 -0.0011000
0.9966400 -0.0002300
1.0000000 0.0000000
