AH 94-W-301
1.0000000 0.0054600
0.9989300 0.0059900
0.9957200 0.0076100
0.9903900 0.0099300
0.9829600 0.0127200
0.9734700 0.0156800
0.9619400 0.0188600
0.9484400 0.0223100
0.9330100 0.0260400
0.9157300 0.0300700
0.8966800 0.0344800
0.8759200 0.0392700
0.8535500 0.0444800
0.8296700 0.0501100
0.8043800 0.0561600
0.7777900 0.0626100
0.7500000 0.0694500
0.7211400 0.0766000
0.6913400 0.0839600
0.6607200 0.0914500
0.6294100 0.0989700
0.5975500 0.1064100
0.5652600 0.1136600
0.5327000 0.1205800
0.5000000 0.1270000
0.4673000 0.1327300
0.4347400 0.1375600
0.4024500 0.1412700
0.3705900 0.1437100
0.3392800 0.1447600
0.3086600 0.1443800
0.2788600 0.1425100
0.2500000 0.1392000
0.2222100 0.1345800
0.1956200 0.1287700
0.1703300 0.1219300
0.1464500 0.1142200
0.1240800 0.1057900
0.1033200 0.0967400
0.0842700 0.0872100
0.0669900 0.0773400
0.0515600 0.0672300
0.0380600 0.0570000
0.0265300 0.0467800
0.0170400 0.0367400
0.0096100 0.0270100
0.0042800 0.0177400
0.0010700 0.0088600
0.0000000 0.0000000
0.0010700 -0.0109300
0.0042800 -0.0260200
0.0096100 -0.0416000
0.0170400 -0.0560100
0.0265300 -0.0693900
0.0380600 -0.0818800
0.0515600 -0.0936000
0.0669900 -0.1045400
0.0842700 -0.1147100
0.1033200 -0.1240400
0.1240800 -0.1324300
0.1464500 -0.1397800
0.1703300 -0.1459800
0.1956200 -0.1509300
0.2222100 -0.1545300
0.2500000 -0.1567300
0.2788600 -0.1574300
0.3086600 -0.1566200
0.3392800 -0.1542800
0.3705900 -0.1504500
0.4024500 -0.1451900
0.4347400 -0.1386500
0.4673000 -0.1309700
0.5000000 -0.1224200
0.5327000 -0.1132100
0.5652600 -0.1036100
0.5975500 -0.0938300
0.6294100 -0.0841000
0.6607200 -0.0746000
0.6913400 -0.0654800
0.7211400 -0.0568600
0.7500000 -0.0488100
0.7777900 -0.0414200
0.8043800 -0.0347500
0.8296700 -0.0288700
0.8535500 -0.0238300
0.8759200 -0.0196500
0.8966800 -0.0163000
0.9157300 -0.0137600
0.9330100 -0.0120000
0.9484400 -0.0109400
0.9619400 -0.0104100
0.9734700 -0.0102200
0.9829600 -0.0102200
0.9903900 -0.0102400
0.9957200 -0.0103200
0.9989300 -0.0103700
1.0000000 -0.0103800
