E210  (13.64%)
1.0000000 0.0000000
0.9964900 0.0009900
0.9865700 0.0041400
0.9713900 0.0093600
0.9517700 0.0158700
0.9278000 0.0228500
0.8993000 0.0300300
0.8664300 0.0375200
0.8296600 0.0453100
0.7894800 0.0532900
0.7464000 0.0613300
0.7009600 0.0692800
0.6537400 0.0769800
0.6053200 0.0842700
0.5563000 0.0909300
0.5072900 0.0967700
0.4589000 0.1014800
0.4115700 0.1047000
0.3655600 0.1061900
0.3211500 0.1058300
0.2785700 0.1036000
0.2380500 0.0995200
0.1997600 0.0937500
0.1639500 0.0865600
0.1309900 0.0782200
0.1011900 0.0689300
0.0748500 0.0589000
0.0522000 0.0483600
0.0334400 0.0375500
0.0187400 0.0267500
0.0082000 0.0163000
0.0019200 0.0066400
0.0001100 -0.0014200
0.0041500 -0.0078600
0.0143900 -0.0136300
0.0298600 -0.0188400
0.0504000 -0.0232700
0.0758500 -0.0268600
0.1059600 -0.0296100
0.1404300 -0.0315000
0.1788900 -0.0325600
0.2209200 -0.0328200
0.2660400 -0.0322600
0.3137000 -0.0309000
0.3633300 -0.0285800
0.4146700 -0.0249900
0.4677800 -0.0203400
0.5222800 -0.0152900
0.5773800 -0.0103300
0.6322700 -0.0057400
0.6861000 -0.0017500
0.7380700 0.0015000
0.7873500 0.0039000
0.8331700 0.0054100
0.8747800 0.0060300
0.9114600 0.0058200
0.9425300 0.0048600
0.9673300 0.0034000
0.9853600 0.0018100
0.9963200 0.0005100
1.0000000 0.0000000
