FX 77-W-270
1.0000000 0.0213500
0.9989300 0.0213500
0.9957200 0.0223100
0.9903900 0.0235600
0.9829600 0.0251000
0.9734700 0.0270000
0.9619400 0.0292500
0.9484400 0.0319500
0.9330100 0.0350300
0.9157300 0.0386900
0.8966800 0.0426800
0.8759200 0.0473400
0.8535500 0.0523100
0.8296700 0.0580000
0.8043800 0.0639900
0.7777900 0.0706600
0.7500000 0.0775800
0.7211400 0.0851400
0.6913400 0.0928300
0.6607200 0.1010400
0.6294100 0.1090700
0.5975500 0.1176000
0.5652600 0.1257600
0.5327000 0.1345300
0.5000000 0.1428000
0.4673000 0.1513400
0.4347400 0.1591500
0.4024500 0.1667800
0.3705900 0.1728600
0.3392800 0.1769400
0.3086600 0.1780300
0.2788600 0.1773400
0.2500000 0.1741400
0.2222100 0.1695000
0.1956200 0.1626900
0.1703300 0.1549600
0.1464500 0.1454800
0.1240800 0.1355600
0.1033200 0.1240300
0.0842700 0.1126100
0.0669900 0.0998900
0.0515600 0.0877300
0.0380600 0.0745400
0.0265300 0.0626100
0.0170400 0.0498700
0.0096100 0.0391600
0.0042800 0.0272800
0.0010700 0.0175400
0.0000000 0.0000000
0.0010700 -0.0127500
0.0042800 -0.0177100
0.0096100 -0.0253800
0.0170400 -0.0309500
0.0265300 -0.0373900
0.0380600 -0.0425000
0.0515600 -0.0486500
0.0669900 -0.0536100
0.0842700 -0.0593000
0.1033200 -0.0639400
0.1240800 -0.0691100
0.1464500 -0.0732400
0.1703300 -0.0777300
0.1956200 -0.0812600
0.2222100 -0.0849700
0.2500000 -0.0877600
0.2788600 -0.0905800
0.3086600 -0.0924800
0.3392800 -0.0942900
0.3705900 -0.0951400
0.4024500 -0.0957400
0.4347400 -0.0952200
0.4673000 -0.0943300
0.5000000 -0.0922200
0.5327000 -0.0895400
0.5652600 -0.0850700
0.5975500 -0.0796600
0.6294100 -0.0721700
0.6607200 -0.0648100
0.6913400 -0.0574400
0.7211400 -0.0509200
0.7500000 -0.0448500
0.7777900 -0.0397000
0.8043800 -0.0350400
0.8296700 -0.0312600
0.8535500 -0.0279000
0.8759200 -0.0253100
0.8966800 -0.0231400
0.9157300 -0.0216700
0.9330100 -0.0205500
0.9484400 -0.0199500
0.9619400 -0.0196400
0.9734700 -0.0196600
0.9829600 -0.0198600
0.9903900 -0.0202100
0.9957200 -0.0205700
0.9989300 -0.0208100
1.0000000 -0.0208100
