E61  (5.64%)
1.0000000 0.0000000
0.9970700 0.0012400
0.9888200 0.0049500
0.9761900 0.0107600
0.9597800 0.0177700
0.9395100 0.0251000
0.9150700 0.0324600
0.8865400 0.0399200
0.8542600 0.0474400
0.8186100 0.0548600
0.7799600 0.0620500
0.7387600 0.0688400
0.6954600 0.0751000
0.6505200 0.0806100
0.6043900 0.0851700
0.5574200 0.0886100
0.5099700 0.0908300
0.4624000 0.0918200
0.4151200 0.0916300
0.3686000 0.0903100
0.3232900 0.0878900
0.2796300 0.0844100
0.2380300 0.0799300
0.1988900 0.0745200
0.1625600 0.0682700
0.1293600 0.0612700
0.0995700 0.0536600
0.0734300 0.0455700
0.0511200 0.0371900
0.0327800 0.0287000
0.0185000 0.0203400
0.0083100 0.0124300
0.0022100 0.0053200
0.0000100 -0.0002900
0.0028500 -0.0032900
0.0117000 -0.0042100
0.0262800 -0.0037000
0.0466400 -0.0016800
0.0727300 0.0015900
0.1044200 0.0059300
0.1414700 0.0110200
0.1835400 0.0165900
0.2301700 0.0223300
0.2808200 0.0279300
0.3348700 0.0331000
0.3916400 0.0375200
0.4502600 0.0408600
0.5097400 0.0429800
0.5691500 0.0438900
0.6276700 0.0436200
0.6844600 0.0421900
0.7387300 0.0396900
0.7896900 0.0361900
0.8366100 0.0318400
0.8787900 0.0267700
0.9155900 0.0212200
0.9464200 0.0153300
0.9705000 0.0094200
0.9872500 0.0043500
0.9968800 0.0010900
1.0000000 0.0000000
