S8055 (12%)
1.0000000 0.0000000
0.9979600 0.0001600
0.9919700 0.0008100
0.9823100 0.0021100
0.9692300 0.0040700
0.9529100 0.0066600
0.9335400 0.0099100
0.9113400 0.0138300
0.8866100 0.0184100
0.8596300 0.0235800
0.8307000 0.0292400
0.8001400 0.0352900
0.7682300 0.0415500
0.7352800 0.0478100
0.7015800 0.0537200
0.6670300 0.0589900
0.6315300 0.0636800
0.5953500 0.0678100
0.5586500 0.0713700
0.5216300 0.0743700
0.4845100 0.0767700
0.4474900 0.0785600
0.4107900 0.0797400
0.3745900 0.0802600
0.3390700 0.0801600
0.3044600 0.0794500
0.2709300 0.0781200
0.2387000 0.0762200
0.2079600 0.0737500
0.1788800 0.0707200
0.1516600 0.0671500
0.1264300 0.0630300
0.1033100 0.0584000
0.0824600 0.0532000
0.0638800 0.0474500
0.0475700 0.0413000
0.0336400 0.0347900
0.0220800 0.0280300
0.0130600 0.0211900
0.0064900 0.0141900
0.0021500 0.0072500
0.0000300 0.0008600
0.0007500 -0.0042900
0.0049900 -0.0085900
0.0126000 -0.0128700
0.0232200 -0.0170100
0.0367400 -0.0209100
0.0530400 -0.0245100
0.0720400 -0.0277700
0.0936300 -0.0306600
0.1177000 -0.0331600
0.1441200 -0.0352700
0.1727300 -0.0369700
0.2033900 -0.0382900
0.2359000 -0.0392100
0.2700700 -0.0397700
0.3057000 -0.0399600
0.3425600 -0.0398200
0.3804200 -0.0393600
0.4190500 -0.0385800
0.4581800 -0.0375300
0.4975500 -0.0361900
0.5369200 -0.0345800
0.5759900 -0.0326700
0.6145800 -0.0303900
0.6525300 -0.0277700
0.6896700 -0.0248100
0.7258800 -0.0216200
0.7609800 -0.0183200
0.7947500 -0.0150800
0.8269200 -0.0120700
0.8571500 -0.0093900
0.8851300 -0.0070800
0.9105800 -0.0051600
0.9332200 -0.0036200
0.9528100 -0.0024200
0.9691700 -0.0014400
0.9822400 -0.0006500
0.9919300 -0.0001400
0.9979500 0.0000200
1.0000000 0.0000000
