E209  (13.72%)
1.0000000 0.0000000
0.9963900 0.0005200
0.9860000 0.0023200
0.9696900 0.0055700
0.9482100 0.0099200
0.9218700 0.0148800
0.8907700 0.0202700
0.8552300 0.0261500
0.8157700 0.0325300
0.7729500 0.0393000
0.7273800 0.0463400
0.6796800 0.0535200
0.6304900 0.0606500
0.5804700 0.0675300
0.5302800 0.0739300
0.4805800 0.0794900
0.4318500 0.0838000
0.3843600 0.0865700
0.3384100 0.0876400
0.2942400 0.0869400
0.2520800 0.0844800
0.2121100 0.0803700
0.1746100 0.0749000
0.1399700 0.0683000
0.1085400 0.0607300
0.0806500 0.0523700
0.0565600 0.0434100
0.0365100 0.0340600
0.0206600 0.0245400
0.0091600 0.0151700
0.0021600 0.0063500
0.0000700 -0.0010800
0.0039800 -0.0077500
0.0137900 -0.0146700
0.0285200 -0.0214000
0.0480400 -0.0276500
0.0721900 -0.0332900
0.1007300 -0.0382100
0.1334000 -0.0423300
0.1698600 -0.0456100
0.2097400 -0.0479900
0.2525800 -0.0494300
0.2979300 -0.0498500
0.3452400 -0.0490900
0.3943000 -0.0468300
0.4451600 -0.0432200
0.4974900 -0.0388400
0.5505700 -0.0340900
0.6036800 -0.0292300
0.6560900 -0.0244600
0.7070800 -0.0199300
0.7559400 -0.0157600
0.8019700 -0.0120500
0.8445100 -0.0088400
0.8829300 -0.0061700
0.9166500 -0.0040000
0.9452200 -0.0022200
0.9683400 -0.0008900
0.9855800 -0.0001400
0.9963300 0.0000300
1.0000000 0.0000000
