AH 94-145
1.0002000 -0.0016100
0.9904300 0.0006500
0.9760900 0.0042700
0.9571500 0.0092100
0.9361700 0.0147700
0.9146900 0.0205500
0.8931200 0.0264100
0.8715400 0.0323100
0.8499600 0.0382400
0.8283800 0.0441900
0.8068100 0.0501400
0.7852400 0.0561000
0.7636700 0.0620700
0.7420900 0.0680300
0.7205800 0.0739800
0.6992200 0.0798600
0.6781000 0.0856300
0.6573000 0.0912200
0.6369500 0.0965400
0.6170700 0.1015100
0.5976300 0.1060600
0.5785400 0.1101800
0.5596700 0.1138400
0.5408900 0.1170400
0.5221000 0.1198100
0.5032400 0.1221400
0.4842900 0.1240400
0.4652500 0.1255300
0.4461600 0.1265800
0.4270400 0.1272200
0.4078900 0.1274200
0.3886800 0.1272000
0.3693900 0.1265700
0.3500100 0.1255300
0.3305800 0.1241000
0.3111300 0.1222800
0.2917000 0.1200800
0.2723300 0.1175100
0.2530700 0.1145700
0.2339300 0.1112600
0.2149600 0.1075700
0.1962100 0.1035300
0.1777300 0.0991100
0.1595600 0.0943300
0.1417700 0.0891700
0.1244400 0.0836600
0.1076900 0.0777800
0.0916200 0.0715700
0.0763800 0.0650600
0.0622000 0.0583100
0.0493100 0.0514400
0.0379900 0.0446000
0.0284600 0.0380300
0.0208000 0.0319800
0.0148900 0.0265700
0.0104100 0.0218000
0.0070700 0.0175800
0.0045800 0.0138300
0.0027600 0.0104600
0.0014700 0.0074100
0.0006100 0.0046200
0.0001300 0.0020300
0.0000000 -0.0003900
0.0002500 -0.0027800
0.0009700 -0.0051700
0.0022100 -0.0074600
0.0039900 -0.0095800
0.0063200 -0.0115000
0.0092100 -0.0132400
0.0127300 -0.0148700
0.0170700 -0.0164400
0.0225300 -0.0180000
0.0295600 -0.0195300
0.0387600 -0.0209800
0.0508600 -0.0222000
0.0665100 -0.0230800
0.0856600 -0.0236200
0.1068700 -0.0239300
0.1286900 -0.0240100
0.1508900 -0.0239100
0.1733900 -0.0236800
0.1959700 -0.0233700
0.2185500 -0.0229700
0.2410900 -0.0225100
0.2635700 -0.0220000
0.2860100 -0.0214400
0.3084100 -0.0208500
0.3307900 -0.0202300
0.3531500 -0.0195900
0.3754900 -0.0189100
0.3978200 -0.0182100
0.4201500 -0.0174900
0.4424700 -0.0167300
0.4647900 -0.0159500
0.4871100 -0.0151300
0.5094300 -0.0142900
0.5317500 -0.0134200
0.5540700 -0.0125100
0.5763900 -0.0115700
0.5987100 -0.0106000
0.6210300 -0.0096200
0.6433500 -0.0086400
0.6656700 -0.0076700
0.6880000 -0.0067300
0.7103600 -0.0058200
0.7327900 -0.0049400
0.7553000 -0.0040700
0.7777600 -0.0032000
0.8001800 -0.0022900
0.8226400 -0.0013500
0.8449400 -0.0004400
0.8668100 0.0004000
0.8880600 0.0010800
0.9084800 0.0015100
0.9279600 0.0016100
0.9463700 0.0012900
0.9633900 0.0005200
0.9783400 -0.0006400
0.9904700 -0.0020400
0.9998000 -0.0035700
