E230  (9.96%)
1.0000000 0.0000000
0.9965700 -0.0001800
0.9863200 -0.0005900
0.9693500 -0.0007800
0.9460500 -0.0002800
0.9171300 0.0011700
0.8833000 0.0035100
0.8451500 0.0066000
0.8032700 0.0103200
0.7582500 0.0144900
0.7106700 0.0189600
0.6611300 0.0235400
0.6101900 0.0280600
0.5584000 0.0323500
0.5063400 0.0362700
0.4545500 0.0396800
0.4035500 0.0424500
0.3538700 0.0444700
0.3059700 0.0456600
0.2603200 0.0459400
0.2173300 0.0452800
0.1774000 0.0436500
0.1408500 0.0410600
0.1080100 0.0375700
0.0791400 0.0332300
0.0544900 0.0281400
0.0342400 0.0224100
0.0185300 0.0162000
0.0074400 0.0097500
0.0010700 0.0035100
0.0004500 -0.0023500
0.0056600 -0.0085800
0.0156700 -0.0153400
0.0302800 -0.0221200
0.0493700 -0.0286100
0.0728300 -0.0346000
0.1004800 -0.0399400
0.1321300 -0.0444900
0.1675300 -0.0481900
0.2063900 -0.0509900
0.2483800 -0.0528600
0.2931300 -0.0538200
0.3402100 -0.0539200
0.3891600 -0.0532200
0.4394600 -0.0517800
0.4906000 -0.0496700
0.5420200 -0.0469800
0.5931700 -0.0437800
0.6434900 -0.0401800
0.6924300 -0.0362600
0.7394400 -0.0321300
0.7839700 -0.0278900
0.8255200 -0.0236400
0.8635900 -0.0194700
0.8976900 -0.0154900
0.9274000 -0.0117700
0.9522800 -0.0083000
0.9721900 -0.0050300
0.9871200 -0.0022500
0.9966700 -0.0005400
1.0000000 0.0000000
