E385  (8.41%)
1.0000000 0.0000000
0.9969500 0.0008000
0.9880400 0.0032100
0.9738400 0.0071600
0.9548000 0.0123100
0.9311700 0.0182600
0.9030900 0.0248100
0.8708400 0.0319300
0.8348800 0.0395200
0.7956900 0.0474400
0.7537600 0.0555100
0.7096500 0.0635600
0.6639000 0.0713700
0.6170900 0.0787100
0.5698100 0.0852700
0.5224900 0.0906700
0.4754500 0.0946400
0.4289800 0.0970300
0.3833700 0.0977300
0.3388700 0.0967200
0.2957100 0.0940900
0.2541900 0.0900500
0.2147500 0.0848000
0.1777600 0.0784600
0.1435800 0.0711800
0.1125300 0.0631200
0.0849000 0.0544200
0.0609000 0.0452800
0.0407300 0.0359000
0.0245000 0.0265200
0.0123300 0.0174500
0.0042400 0.0090300
0.0002500 0.0018200
0.0011200 -0.0031000
0.0076800 -0.0061100
0.0199600 -0.0079500
0.0378500 -0.0084800
0.0613100 -0.0077900
0.0902300 -0.0060700
0.1243800 -0.0035400
0.1634000 -0.0004000
0.2068700 0.0031300
0.2542900 0.0068400
0.3050700 0.0105300
0.3585800 0.0140200
0.4141300 0.0171400
0.4710000 0.0197800
0.5284200 0.0218100
0.5856400 0.0231600
0.6418700 0.0237800
0.6963600 0.0236600
0.7483700 0.0228000
0.7971800 0.0212500
0.8421000 0.0190600
0.8825000 0.0163300
0.9177900 0.0131700
0.9474300 0.0096800
0.9707600 0.0060300
0.9872200 0.0028100
0.9968500 0.0007000
1.0000000 0.0000000
