E178  (8.69%)
1.0000000 0.0000000
0.9967800 0.0001900
0.9872200 0.0008600
0.9715600 0.0021800
0.9501100 0.0042800
0.9232800 0.0072600
0.8915800 0.0111100
0.8555300 0.0158100
0.8157100 0.0212400
0.7727100 0.0273100
0.7271600 0.0338500
0.6797100 0.0406700
0.6310300 0.0475300
0.5818000 0.0541400
0.5326100 0.0600500
0.4837800 0.0648400
0.4356300 0.0683400
0.3884500 0.0703600
0.3425000 0.0708600
0.2980100 0.0698400
0.2552300 0.0675000
0.2146100 0.0640900
0.1765700 0.0596900
0.1415000 0.0544400
0.1097700 0.0484500
0.0816600 0.0418500
0.0574500 0.0347600
0.0373100 0.0273500
0.0214300 0.0198000
0.0098500 0.0123600
0.0026300 0.0054500
0.0000000 -0.0001800
0.0030200 -0.0047000
0.0119000 -0.0087600
0.0259800 -0.0122200
0.0452400 -0.0149700
0.0695300 -0.0169800
0.0987000 -0.0182900
0.1324800 -0.0189600
0.1705400 -0.0190500
0.2124900 -0.0186700
0.2578800 -0.0178800
0.3061900 -0.0167800
0.3568700 -0.0154600
0.4093400 -0.0139800
0.4629600 -0.0124300
0.5171200 -0.0108600
0.5711400 -0.0093300
0.6244000 -0.0078700
0.6762500 -0.0065100
0.7260700 -0.0052900
0.7732600 -0.0042100
0.8172500 -0.0032800
0.8574900 -0.0025000
0.8935000 -0.0018700
0.9248200 -0.0013600
0.9510600 -0.0009200
0.9719400 -0.0004900
0.9872900 -0.0001400
0.9967700 -0.0000100
1.0000000 0.0000000
