E220  (11.48%)
1.0000000 0.0000000
0.9963900 0.0000800
0.9857500 0.0006200
0.9685500 0.0020600
0.9453700 0.0045600
0.9167100 0.0080900
0.8830300 0.0126900
0.8449400 0.0184400
0.8032200 0.0253100
0.7586500 0.0331100
0.7120200 0.0415600
0.6640800 0.0503100
0.6155500 0.0589000
0.5670700 0.0667500
0.5189300 0.0731700
0.4711300 0.0778400
0.4238100 0.0807200
0.3771400 0.0818800
0.3314400 0.0815200
0.2872000 0.0798300
0.2448600 0.0768700
0.2048500 0.0727500
0.1675700 0.0675400
0.1333700 0.0613600
0.1025600 0.0543200
0.0754300 0.0465800
0.0522000 0.0383000
0.0330700 0.0296800
0.0181800 0.0209500
0.0076100 0.0124100
0.0014800 0.0045200
0.0002500 -0.0017200
0.0049200 -0.0069000
0.0155200 -0.0120800
0.0313400 -0.0168900
0.0522100 -0.0211300
0.0779500 -0.0247400
0.1083400 -0.0276900
0.1431200 -0.0299600
0.1819400 -0.0316100
0.2244000 -0.0326600
0.2700400 -0.0331600
0.3183800 -0.0331800
0.3688500 -0.0327700
0.4208900 -0.0319900
0.4739000 -0.0308800
0.5272500 -0.0294900
0.5803200 -0.0278700
0.6325000 -0.0260400
0.6831800 -0.0240400
0.7317600 -0.0219100
0.7776700 -0.0196700
0.8203700 -0.0173300
0.8593600 -0.0149200
0.8941600 -0.0124400
0.9243500 -0.0098100
0.9497700 -0.0069100
0.9705100 -0.0039700
0.9863300 -0.0016200
0.9964700 -0.0003400
1.0000000 0.0000000
