E392  (10.15%)
1.0000000 0.0000000
0.9967600 0.0005600
0.9872700 0.0023300
0.9720800 0.0053700
0.9516900 0.0094900
0.9264100 0.0144000
0.8964900 0.0199600
0.8623000 0.0261500
0.8243200 0.0328900
0.7831100 0.0400600
0.7392200 0.0475100
0.6932500 0.0550500
0.6458100 0.0624700
0.5975100 0.0695400
0.5490000 0.0759200
0.5007300 0.0811900
0.4530100 0.0850600
0.4061300 0.0873600
0.3603700 0.0880000
0.3159800 0.0869400
0.2731600 0.0842900
0.2322200 0.0802700
0.1935900 0.0750900
0.1576500 0.0688900
0.1247600 0.0618100
0.0952500 0.0540100
0.0693800 0.0456500
0.0473800 0.0369000
0.0294200 0.0279900
0.0156400 0.0191300
0.0060700 0.0106800
0.0008000 0.0031500
0.0006500 -0.0025400
0.0063100 -0.0069600
0.0175600 -0.0109000
0.0341300 -0.0140700
0.0558800 -0.0164100
0.0826800 -0.0179300
0.1142800 -0.0187000
0.1503900 -0.0187900
0.1906000 -0.0182900
0.2344900 -0.0172800
0.2815500 -0.0158300
0.3312200 -0.0139800
0.3829700 -0.0117500
0.4363200 -0.0092000
0.4907100 -0.0064600
0.5455900 -0.0037000
0.6002900 -0.0011200
0.6540800 0.0011300
0.7062500 0.0029600
0.7560800 0.0043200
0.8028900 0.0051600
0.8460300 0.0054900
0.8848900 0.0053300
0.9188900 0.0047400
0.9475300 0.0037700
0.9703100 0.0025400
0.9867700 0.0012900
0.9966900 0.0003500
1.0000000 0.0000000
