AH 93-W-257
1.0000000 0.0002900
0.9989300 0.0006200
0.9957200 0.0016200
0.9903900 0.0032500
0.9829600 0.0052800
0.9734700 0.0077700
0.9619400 0.0105000
0.9484400 0.0134900
0.9330100 0.0168300
0.9157300 0.0205000
0.8966800 0.0245500
0.8759200 0.0289900
0.8535500 0.0338800
0.8296700 0.0392100
0.8043800 0.0449900
0.7777900 0.0512100
0.7500000 0.0578300
0.7211400 0.0647900
0.6913400 0.0720300
0.6607200 0.0794700
0.6294100 0.0870200
0.5975500 0.0946100
0.5652600 0.1020900
0.5327000 0.1092800
0.5000000 0.1159200
0.4673000 0.1216800
0.4347400 0.1263000
0.4024500 0.1295700
0.3705900 0.1313900
0.3392800 0.1317700
0.3086600 0.1307500
0.2788600 0.1284200
0.2500000 0.1249000
0.2222100 0.1203200
0.1956200 0.1148100
0.1703300 0.1084900
0.1464500 0.1014800
0.1240800 0.0938700
0.1033200 0.0857500
0.0842700 0.0772400
0.0669900 0.0684300
0.0515600 0.0594200
0.0380600 0.0503500
0.0265300 0.0413300
0.0170400 0.0325400
0.0096100 0.0240700
0.0042800 0.0161000
0.0010700 0.0084000
0.0000000 0.0000000
0.0010700 -0.0102700
0.0042800 -0.0208400
0.0096100 -0.0311900
0.0170400 -0.0411600
0.0265300 -0.0511700
0.0380600 -0.0607500
0.0515600 -0.0698100
0.0669900 -0.0784700
0.0842700 -0.0867300
0.1033200 -0.0945400
0.1240800 -0.1018100
0.1464500 -0.1083700
0.1703300 -0.1140600
0.1956200 -0.1187400
0.2222100 -0.1223300
0.2500000 -0.1248000
0.2788600 -0.1260400
0.3086600 -0.1259900
0.3392800 -0.1246100
0.3705900 -0.1219400
0.4024500 -0.1179900
0.4347400 -0.1127700
0.4673000 -0.1062300
0.5000000 -0.0984200
0.5327000 -0.0895300
0.5652600 -0.0798000
0.5975500 -0.0695300
0.6294100 -0.0591000
0.6607200 -0.0488600
0.6913400 -0.0391300
0.7211400 -0.0302000
0.7500000 -0.0222600
0.7777900 -0.0155000
0.8043800 -0.0100600
0.8296700 -0.0059400
0.8535500 -0.0030300
0.8759200 -0.0012300
0.8966800 -0.0003800
0.9157300 -0.0003500
0.9330100 -0.0009600
0.9484400 -0.0020100
0.9619400 -0.0033700
0.9734700 -0.0048000
0.9829600 -0.0060100
0.9903900 -0.0069600
0.9957200 -0.0072800
0.9989300 -0.0073900
1.0000000 -0.0074400
