AH 81-131
1.0000000 0.0000000
0.9989300 -0.0001400
0.9957200 -0.0004300
0.9903900 -0.0007000
0.9829600 -0.0008300
0.9734700 -0.0007300
0.9619400 -0.0003200
0.9484400 0.0004900
0.9330100 0.0018000
0.9157300 0.0037500
0.8966800 0.0064100
0.8759200 0.0098900
0.8535500 0.0142700
0.8296700 0.0196200
0.8043800 0.0260100
0.7777900 0.0334200
0.7500000 0.0416800
0.7211400 0.0503900
0.6913400 0.0589800
0.6607200 0.0668600
0.6294100 0.0737100
0.5975500 0.0794800
0.5652600 0.0842600
0.5327000 0.0880600
0.5000000 0.0908300
0.4673000 0.0925900
0.4347400 0.0933700
0.4024500 0.0934900
0.3705900 0.0930300
0.3392800 0.0919900
0.3086600 0.0902400
0.2788600 0.0877100
0.2500000 0.0846100
0.2222100 0.0810200
0.1956200 0.0769600
0.1703300 0.0724400
0.1464500 0.0674600
0.1240800 0.0620600
0.1033200 0.0563400
0.0842700 0.0503900
0.0669900 0.0443700
0.0515600 0.0383600
0.0380600 0.0324900
0.0265300 0.0268000
0.0170400 0.0210300
0.0096100 0.0151400
0.0042800 0.0093400
0.0010700 0.0042800
0.0000000 0.0005800
0.0010700 -0.0022200
0.0042800 -0.0046000
0.0096100 -0.0069800
0.0170400 -0.0094800
0.0265300 -0.0118600
0.0380600 -0.0141900
0.0515600 -0.0164900
0.0669900 -0.0187800
0.0842700 -0.0210600
0.1033200 -0.0232900
0.1240800 -0.0253700
0.1464500 -0.0272900
0.1703300 -0.0291300
0.1956200 -0.0308300
0.2222100 -0.0323900
0.2500000 -0.0337500
0.2788600 -0.0348400
0.3086600 -0.0356700
0.3392800 -0.0363400
0.3705900 -0.0368000
0.4024500 -0.0370300
0.4347400 -0.0370200
0.4673000 -0.0367100
0.5000000 -0.0362400
0.5327000 -0.0355500
0.5652600 -0.0346700
0.5975500 -0.0336200
0.6294100 -0.0323800
0.6607200 -0.0310300
0.6913400 -0.0295600
0.7211400 -0.0280100
0.7500000 -0.0264200
0.7777900 -0.0247700
0.8043800 -0.0230500
0.8296700 -0.0212400
0.8535500 -0.0193500
0.8759200 -0.0173800
0.8966800 -0.0152900
0.9157300 -0.0131200
0.9330100 -0.0109200
0.9484400 -0.0087800
0.9619400 -0.0067800
0.9734700 -0.0049800
0.9829600 -0.0034300
0.9903900 -0.0021500
0.9957200 -0.0011400
0.9989300 -0.0004300
1.0000000 0.0000000
