S4083 (8%)
1.0000000 0.0000000
0.9981500 0.0005500
0.9930800 0.0022000
0.9852800 0.0044500
0.9746900 0.0068900
0.9611500 0.0094800
0.9447300 0.0123000
0.9255500 0.0153300
0.9037400 0.0185500
0.8794400 0.0219300
0.8528200 0.0254400
0.8240400 0.0290700
0.7933000 0.0327700
0.7608000 0.0365300
0.7267500 0.0403100
0.6913700 0.0441000
0.6549100 0.0478700
0.6176200 0.0515700
0.5797500 0.0551900
0.5415800 0.0586700
0.5033800 0.0619600
0.4654100 0.0649800
0.4279400 0.0676800
0.3912100 0.0699500
0.3554400 0.0716900
0.3208200 0.0728200
0.2875800 0.0732200
0.2557500 0.0727700
0.2253800 0.0715000
0.1966500 0.0693800
0.1695500 0.0664000
0.1441600 0.0627100
0.1206000 0.0583500
0.0989300 0.0533900
0.0792700 0.0479500
0.0616800 0.0420800
0.0461800 0.0359100
0.0328900 0.0295300
0.0218000 0.0230600
0.0129300 0.0166900
0.0063200 0.0105700
0.0020100 0.0049300
0.0000000 0.0001600
0.0009900 -0.0034600
0.0054100 -0.0061800
0.0130500 -0.0084200
0.0238300 -0.0101900
0.0376500 -0.0114600
0.0544700 -0.0122700
0.0741900 -0.0126500
0.0967200 -0.0126100
0.1219200 -0.0121900
0.1496800 -0.0114300
0.1798300 -0.0103700
0.2122100 -0.0090700
0.2465900 -0.0075700
0.2827900 -0.0059300
0.3205500 -0.0042000
0.3596400 -0.0024300
0.3997900 -0.0006700
0.4407500 0.0010400
0.4822100 0.0026400
0.5239000 0.0041200
0.5655200 0.0054600
0.6068400 0.0066700
0.6476800 0.0076800
0.6877600 0.0082400
0.7265700 0.0082600
0.7635800 0.0078700
0.7986000 0.0072300
0.8313800 0.0064300
0.8617300 0.0055100
0.8894600 0.0045400
0.9143700 0.0035500
0.9363200 0.0026200
0.9551500 0.0017900
0.9708200 0.0011500
0.9832800 0.0006700
0.9923900 0.0003100
0.9980500 0.0001000
1.0000000 0.0000000
