E224  (10.17%)
1.0000000 0.0000000
0.9966400 0.0004800
0.9869200 0.0020500
0.9715200 0.0047200
0.9508900 0.0082000
0.9252400 0.0122600
0.8948900 0.0169200
0.8603300 0.0220700
0.8220300 0.0275600
0.7804800 0.0332400
0.7361900 0.0389400
0.6896700 0.0445000
0.6414300 0.0497500
0.5920000 0.0545200
0.5418900 0.0586900
0.4916000 0.0621000
0.4416400 0.0646700
0.3924800 0.0662800
0.3446000 0.0668900
0.2984400 0.0664300
0.2544200 0.0648900
0.2129300 0.0622700
0.1743400 0.0586100
0.1389800 0.0539600
0.1071400 0.0484100
0.0790900 0.0420700
0.0550300 0.0350800
0.0351700 0.0276100
0.0196100 0.0198600
0.0084500 0.0121200
0.0017900 0.0047700
0.0001400 -0.0012400
0.0043000 -0.0065700
0.0140200 -0.0122400
0.0286700 -0.0176600
0.0480800 -0.0226000
0.0720900 -0.0268700
0.1005500 -0.0303900
0.1332200 -0.0330700
0.1698400 -0.0348800
0.2100800 -0.0358400
0.2535800 -0.0359500
0.2999500 -0.0352800
0.3487100 -0.0338900
0.3993900 -0.0318700
0.4514500 -0.0293300
0.5043400 -0.0263700
0.5574700 -0.0231200
0.6102400 -0.0197000
0.6620500 -0.0162200
0.7122900 -0.0128200
0.7603500 -0.0096200
0.8056200 -0.0067100
0.8475000 -0.0042200
0.8854100 -0.0022100
0.9187900 -0.0007500
0.9470800 0.0001200
0.9697700 0.0004700
0.9863900 0.0004100
0.9965700 0.0001500
1.0000000 0.0000000
