E64  (8.45%)
1.0000000 0.0000000
0.9967900 0.0007600
0.9876100 0.0031100
0.9732400 0.0068600
0.9540900 0.0114500
0.9302200 0.0165900
0.9018500 0.0222300
0.8694200 0.0282900
0.8333600 0.0345500
0.7940800 0.0408100
0.7520000 0.0469100
0.7075600 0.0526700
0.6612200 0.0579300
0.6134400 0.0625700
0.5646900 0.0664600
0.5154300 0.0695000
0.4661500 0.0716200
0.4173100 0.0727500
0.3693800 0.0728800
0.3228000 0.0719700
0.2780300 0.0700400
0.2354700 0.0671000
0.1955300 0.0632200
0.1585800 0.0584400
0.1249400 0.0528500
0.0949000 0.0465300
0.0687200 0.0396000
0.0465800 0.0322100
0.0286300 0.0245300
0.0149600 0.0168000
0.0056000 0.0093100
0.0005600 0.0025800
0.0007500 -0.0025500
0.0067500 -0.0066400
0.0181800 -0.0103800
0.0347700 -0.0134800
0.0564000 -0.0158200
0.0829300 -0.0173500
0.1141500 -0.0181000
0.1497900 -0.0180900
0.1895400 -0.0174000
0.2330000 -0.0161000
0.2797300 -0.0143100
0.3292400 -0.0121200
0.3809800 -0.0096500
0.4343900 -0.0070100
0.4888400 -0.0043400
0.5437000 -0.0017300
0.5983100 0.0006900
0.6519900 0.0028400
0.7040900 0.0046100
0.7539200 0.0059500
0.8008200 0.0067800
0.8441600 0.0070900
0.8833100 0.0068600
0.9177000 0.0061200
0.9467500 0.0049100
0.9699000 0.0033300
0.9866100 0.0016900
0.9966500 0.0004600
1.0000000 0.0000000
