E226  (10.19%)
1.0000000 0.0000000
0.9966100 0.0002700
0.9866700 0.0012200
0.9707200 0.0030200
0.9492000 0.0056000
0.9224800 0.0088800
0.8910100 0.0128300
0.8552900 0.0173600
0.8158500 0.0223100
0.7731900 0.0275300
0.7278500 0.0328500
0.6803700 0.0380900
0.6312800 0.0431000
0.5811000 0.0477000
0.5303700 0.0517600
0.4796100 0.0551400
0.4293100 0.0577200
0.3799700 0.0594200
0.3320700 0.0601600
0.2860500 0.0598900
0.2423400 0.0585900
0.2013200 0.0562500
0.1633500 0.0528900
0.1287700 0.0485800
0.0978500 0.0433900
0.0708400 0.0374300
0.0479700 0.0308300
0.0293900 0.0237600
0.0152100 0.0164400
0.0055300 0.0091500
0.0004400 0.0024200
0.0010500 -0.0035000
0.0075600 -0.0093500
0.0190300 -0.0153900
0.0352500 -0.0211800
0.0560800 -0.0264800
0.0813800 -0.0311400
0.1109600 -0.0350400
0.1445900 -0.0381000
0.1819900 -0.0402900
0.2228500 -0.0416000
0.2667900 -0.0420500
0.3134100 -0.0416700
0.3622500 -0.0405500
0.4128100 -0.0387600
0.4645700 -0.0363900
0.5169700 -0.0335500
0.5694300 -0.0303400
0.6213800 -0.0268800
0.6722300 -0.0232700
0.7213700 -0.0196300
0.7682400 -0.0160700
0.8122400 -0.0127000
0.8528300 -0.0096300
0.8894500 -0.0069200
0.9215900 -0.0046700
0.9487300 -0.0028600
0.9704900 -0.0014600
0.9865900 -0.0005100
0.9965900 -0.0000900
1.0000000 0.0000000
