EH 3.0/12
1.0000000 0.0000000
0.9900000 0.0007000
0.9800000 0.0016200
0.9700000 0.0026400
0.9500000 0.0048100
0.9250000 0.0076900
0.9000000 0.0107300
0.8750000 0.0138900
0.8500000 0.0171600
0.8250000 0.0205500
0.8000000 0.0240600
0.7750000 0.0276600
0.7500000 0.0313500
0.7250000 0.0351200
0.7000000 0.0389600
0.6750000 0.0428500
0.6500000 0.0467600
0.6000000 0.0545900
0.5500000 0.0622800
0.5000000 0.0696400
0.4500000 0.0763900
0.4000000 0.0821600
0.3500000 0.0865900
0.3000000 0.0891700
0.2750000 0.0895800
0.2500000 0.0893100
0.2250000 0.0882400
0.2000000 0.0862700
0.1750000 0.0832800
0.1500000 0.0791100
0.1250000 0.0735700
0.1000000 0.0664100
0.0750000 0.0572700
0.0500000 0.0455400
0.0350000 0.0367500
0.0250000 0.0298200
0.0200000 0.0258900
0.0150000 0.0215600
0.0125000 0.0192300
0.0100000 0.0167400
0.0075000 0.0140000
0.0050000 0.0109400
0.0040000 0.0095800
0.0030000 0.0091100
0.0025000 0.0073200
0.0020000 0.0064800
0.0015000 0.0055700
0.0010000 0.0045500
0.0005000 0.0032800
0.0000000 0.0009500
0.0000000 0.0000000
0.0000000 0.0009500
0.0005000 -0.0024000
0.0010000 -0.0035600
0.0015000 -0.0044500
0.0020000 -0.0052100
0.0025000 -0.0058700
0.0030000 -0.0064600
0.0040000 -0.0074600
0.0050000 -0.0082900
0.0075000 -0.0099500
0.0100000 -0.0112600
0.0125000 -0.0123700
0.0150000 -0.0133600
0.0200000 -0.0150500
0.0250000 -0.0165000
0.0350000 -0.0188700
0.0500000 -0.0212200
0.0750000 -0.0236100
0.1000000 -0.0250700
0.1250000 -0.0260400
0.1500000 -0.0267500
0.1750000 -0.0273900
0.2000000 -0.0280300
0.2250000 -0.0286700
0.2500000 -0.0293100
0.2750000 -0.0299500
0.3000000 -0.0305900
0.3500000 -0.0318700
0.4000000 -0.0331500
0.4500000 -0.0340300
0.5000000 -0.0341500
0.5500000 -0.0338000
0.6000000 -0.0327500
0.6500000 -0.0308900
0.6750000 -0.0296500
0.7000000 -0.0282100
0.7250000 -0.0265600
0.7500000 -0.0247000
0.7750000 -0.0226500
0.8000000 -0.0204400
0.8250000 -0.0181200
0.8500000 -0.0157000
0.8750000 -0.0132100
0.9000000 -0.0106400
0.9250000 -0.0080300
0.9500000 -0.0053800
0.9700000 -0.0032300
0.9800000 -0.0021600
0.9900000 -0.0010800
1.0000000 0.0000000
