E212  (10.55%)
1.0000000 0.0000000
0.9967600 0.0009200
0.9875900 0.0037200
0.9734600 0.0080300
0.9547200 0.0130700
0.9312400 0.0184400
0.9031600 0.0241800
0.8708500 0.0302300
0.8347400 0.0364500
0.7952500 0.0426900
0.7528300 0.0488100
0.7079600 0.0546500
0.6611200 0.0600800
0.6128200 0.0649600
0.5635500 0.0691500
0.5138300 0.0725600
0.4641600 0.0750700
0.4150200 0.0766000
0.3668900 0.0770800
0.3202300 0.0764700
0.2754800 0.0747300
0.2330300 0.0718800
0.1932600 0.0679400
0.1565100 0.0629500
0.1230900 0.0570100
0.0932700 0.0502300
0.0672900 0.0427500
0.0453400 0.0347300
0.0275800 0.0263600
0.0141000 0.0179000
0.0049900 0.0096700
0.0003200 0.0022400
0.0012200 -0.0039800
0.0080000 -0.0097000
0.0198400 -0.0153200
0.0364800 -0.0204500
0.0578000 -0.0248600
0.0836300 -0.0284000
0.1137900 -0.0309700
0.1480800 -0.0325200
0.1862100 -0.0330100
0.2279000 -0.0324800
0.2728000 -0.0309900
0.3205100 -0.0286100
0.3705900 -0.0254800
0.4225700 -0.0217500
0.4759000 -0.0175900
0.5300300 -0.0132000
0.5843400 -0.0087800
0.6381900 -0.0045200
0.6909000 -0.0006300
0.7417900 0.0027100
0.7901600 0.0053500
0.8352800 0.0071300
0.8764300 0.0079400
0.9128400 0.0077600
0.9438200 0.0065900
0.9685100 0.0045800
0.9861500 0.0023100
0.9965700 0.0006100
1.0000000 0.0000000
