SD5060 (9.5%)
1.0000000 0.0000000
0.9967800 0.0002300
0.9872000 0.0010200
0.9714900 0.0025600
0.9500200 0.0050000
0.9232600 0.0083800
0.8917300 0.0126800
0.8560000 0.0177800
0.8166400 0.0235100
0.7742200 0.0296700
0.7292900 0.0360000
0.6823600 0.0422700
0.6339600 0.0482400
0.5845700 0.0537000
0.5346500 0.0584700
0.4846800 0.0623900
0.4350800 0.0653600
0.3863200 0.0673000
0.3388200 0.0681600
0.2930100 0.0679300
0.2493100 0.0666400
0.2081400 0.0643300
0.1699200 0.0610500
0.1350400 0.0568300
0.1038300 0.0516800
0.0765600 0.0456500
0.0534300 0.0387500
0.0344400 0.0310400
0.0195400 0.0228000
0.0087800 0.0144300
0.0022300 0.0063700
0.0000300 -0.0006600
0.0033400 -0.0065600
0.0124400 -0.0120800
0.0264100 -0.0172900
0.0450700 -0.0217800
0.0683500 -0.0253800
0.0961300 -0.0279500
0.1282900 -0.0293800
0.1647500 -0.0297300
0.2052400 -0.0292000
0.2493500 -0.0279500
0.2966100 -0.0261100
0.3465100 -0.0238400
0.3984500 -0.0212600
0.4518300 -0.0185100
0.5060200 -0.0156800
0.5603400 -0.0128800
0.6141600 -0.0102000
0.6668000 -0.0077200
0.7176000 -0.0055100
0.7659200 -0.0036100
0.8111300 -0.0020600
0.8526500 -0.0008900
0.8899200 -0.0000800
0.9224400 0.0003900
0.9497400 0.0005700
0.9714400 0.0005100
0.9872100 0.0003200
0.9967900 0.0001000
1.0000100 -0.0000000
